,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Health Promotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
Risk Management,0.0,0.0,0.0,0.0,0.0033240218703161355,0.0,0.0,6.530645411481308e-149,0.06201782693569828,0.04999836879379041,3.1375015754480664,0.0,0.0,0.0016648490885412183,0.24698773310828945,0.06752938420554461,0.0,0.0,0.0,0.0
Boolean Algebra and Logic Gates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.622267872425776
Presentation Skills for IT Professionals,3.016551990004848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525543044626303,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Computing and Virtualization,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Student Engagement Strategies,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
IT Governance and Compliance,0.0,0.0,0.0,0.0,0.0,0.0,2.6964652512345775e-52,2.7714721364670203e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User Acceptance Testing (UAT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
"CI/CD for Mobile (Jenkins, Bitrise)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014136095012676948,0.0016262432967643747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linux/Unix Systems Administration,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Internet Protocol (IP) and Addressing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9823583428840617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technical Writing for IT Audiences,3.016551990004848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525543044626303,0.0,0.0,0.0,0.0,0.0,0.0
Cloud-Native Development and Deployment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001320675970111,0.0,0.0,0.0,0.0,0.11687106158516378,0.0,0.0,0.0,0.2620593193310064,0.0
IPv4 and IPv6 Addressing and Routing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
Mentoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0420382956837414e-61,0.0,0.0,0.0,0.0
Business Process,0.0,0.0,3.1958641790562525e-94,0.0,0.0,0.0,0.0,0.0,1.3619166587700655e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sustainability in Computing,0.0,0.0,0.0,0.0,0.0,0.0,2.6964652512345775e-52,2.7714721364670203e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graph Theory,0.0,0.0,0.0,0.0,0.0,6.064468860031916e-08,0.0,0.0,0.3090507717491054,0.0,0.0,0.0,1.1986068659468943,0.0,0.0,0.0,0.0,0.0,0.007435301168453902,0.0
Advanced Sorting and Searching Algorithms,0.0,0.40131450286175774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286708418400576,0.0,0.0,0.0,0.0,0.0
Error Handling and Exception Management,0.0,0.2278737492476548,0.0,0.0,0.0,0.0,0.0,0.0,0.0020124247705934338,0.0,0.024620124381644848,0.0,0.0,0.0,0.0,0.003125904428277434,0.0,0.0,0.0,0.0
Philippine History,0.0,0.0,0.0,0.0,0.002204805162245744,0.0,0.0,0.0,0.0,0.0,0.0,0.0072540224179814235,0.018827309092433207,0.0,0.0,0.42088024952003344,0.0,0.1407043057037118,0.0,0.0
Communication for IT,3.016551990004848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525543044626303,0.0,0.0,0.0,0.0,0.0,0.0
Ethical Leadership and Governance,0.0,0.0,0.0,0.0,1.4023361385585644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhetorical Theory,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
Moral Philosophy,0.0,0.0,0.0,0.0,2.1035042078378465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User-Centered Design (UCD),0.0,0.0,0.0,0.0,0.0,0.0,1.2334371224789602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technological Determinism vs. Social Shaping of Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Foreign Language Proficiency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.679381947596242e-139,0.0,0.0,3.6731030564025724e-142
Communication in Conflict Resolution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954515916613899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wireless Networking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
IT Infrastructure,0.0,0.0,0.0,0.0,0.0,0.5183572383660583,0.0,0.0,0.0,0.5687895503164366,0.0,0.0,0.0,0.0,0.0,0.0,0.44014433076811366,0.0,0.0,0.0
Research Writing,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
Cryptography and Encryption Protocols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
Enterprise Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3159265035920785e-182,0.0,0.0,0.0,0.0,0.0,1.5200738958850737e-177,0.0,0.0,0.0
Link Aggregation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.190346567168877e-160,0.0,0.0,0.0,0.0,0.0,0.0
Motivation and Behavior,7.831714199035402e-05,0.0,0.0,0.0,0.0,0.0,2.306133280686897,0.0,0.0,0.0,0.0,0.0009349876600951257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99895991778694e-20,0.0,0.0,0.0,4.019774434166901e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.415260778354844e-16,0.0
Process Modeling and UML Diagrams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399901246895764,0.0,0.0,0.0,0.0,0.0
Big Data and Data Processing Techniques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001320675970111,0.0,0.0,0.0,0.0,0.11687106158516378,0.0,0.0,0.0,0.2620593193310064,0.0
Scientific Writing,0.0,0.0,0.0,2.0942214852358356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Operating Systems (Linux, Windows)",0.0,0.0,0.0,0.0,0.0,0.5183572383660583,0.0,0.0,0.0,0.5687895503164366,0.0,0.0,0.0,0.0,0.0,0.0,0.44014433076811366,0.0,0.0,0.0
Business Development and Sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899879058581966,0.0,0.0,0.0,0.0,0.0,1.3860927308691894e-56,0.0,0.0,0.0
"Design Prototyping Tools (e.g., Figma, Adobe XD)",0.0,0.0,3.2427332132595694e-80,0.0004798552560621663,0.0,0.0,0.0,0.0,0.0,0.017630407633562963,0.007062497131664398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200916117077674e-05
Quality of Service (QoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Risk Reduction and Emergency Response,0.0,0.0,1.5277086676940406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Historical Methodology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34895778948689005,0.0,0.05582508993127849,0.0,0.0
"Sorting Algorithms (e.g., QuickSort, MergeSort)",0.0,1.0227701203358457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Problem Solving and Computational Thinking,0.0,0.3418106238714822,0.0,0.0,0.0,0.0,0.0,0.0,0.0030186371558901504,0.0,0.036930186572467265,0.0,0.0,0.0,0.0,0.00468885664241615,0.0,0.0,0.0,0.0
Human Factors in Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.8222914149859736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global Technology and Policy Issues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Graph Theory and Algorithms,0.0,1.0227701203358457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UML Modeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Data Cleaning and Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Report Writing for IT Projects,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
Digital Globalization and the Internet,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project Evaluation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026272294008938897,0.0,0.013166604586850338,0.0,0.0,0.0,0.12754952356545057,0.0033841679469706377,0.0,0.0,0.0,0.0
"Writing for Different Audiences (e.g., technical, lay, academic)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8431773874920845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic Statistics,0.00011703574652409208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0718299163638974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Networking Protocols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0035152053659212e-141
Team Dynamics and Communication,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT Law,0.0,0.0,0.0,0.0,0.0,0.0,2.6964652512345775e-52,2.7714721364670203e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSI Model and TCP/IP Protocol Stack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9823583428840617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Database Administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.110276418912365,0.0
Mathematical Modelling of Real-world Problems,0.0,0.0,0.0,0.0,0.0,4.185165028614665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.45687759353664015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003943308365743178,0.21232048413670954,0.03166330648581896,0.0,0.0,0.008342898907206272,0.020548929129661164,0.005804618988931197,0.0,0.0,0.0,0.0
Documentation Tools and Techniques,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
Cultural and Traditional Dance Styles,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virtual Private Networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36135513093498445,0.0,0.0,0.0
Software Integration,0.0,0.0,0.0,0.0,0.0,0.09479207177648437,0.0,0.0,0.0,0.0,0.0,1.7710259323100122e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Innovation Methods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.804136900441513e-140,0.0,0.0,4.8307221091674566e-142
Technical Troubleshooting,0.0,0.0,0.0,0.0,0.0,2.148500923550238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finite State Machines (FSM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
Problem Framing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.869424600294341e-140,0.0,0.0,3.2204814061116368e-142
ACID Properties of Transactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.665414628368547,0.0
Dance Performance Analysis,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAN/WAN Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6642702795251005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strategic Innovation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21160551944072e-136,0.0,6.379437213693058e-154,0.0
Pitching Techniques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.601414852902268e-107,0.0,0.0,0.0,0.0,0.0,0.0,2.977271121666563e-101,0.0,0.0
Communication in Professional Settings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954515916613899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Big Data Frameworks (e.g., Hadoop, Spark)",0.0,0.0,0.0,0.0,0.0,0.0,4.666101299979737e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051392899694191,0.0
Cognitive Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0446246946409664e-177,0.0,0.0,1.7637668256186563e-180
Group Communication and Teamwork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954515916613899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Science and Technology Studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4689322634279002,0.0,0.0,0.0,0.0
Computer Fundamentals,0.0,0.0,0.0,0.0,0.0,3.2227513853253575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Integration and Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001320675970111,0.0,0.0,0.0,0.0,0.11687106158516378,0.0,0.0,0.0,0.2620593193310064,0.0
Agile or Iterative Development Concepts,0.0,0.1139368746238274,0.0,0.0,0.0,0.0,0.0,0.0,0.0010062123852967169,0.0,0.012310062190822424,0.0,0.0,0.0,0.0,0.001562952214138717,0.0,0.0,0.0,0.0
Entrepreneurship Principles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7397337572351435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Critical Thinking and Evaluation of Rizal's Contributions,0.0,0.0,0.0,0.0,0.0026047702968167654,0.0,0.0,0.0,0.0,0.0,0.0,0.008303934837690888,0.019785458609435883,0.0,0.0,0.0719216912118681,0.0,0.08487367098394015,0.0,0.0
Contemporary Politics,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Automation Tools (Ansible, Puppet)",0.0,0.0,0.0,0.0,0.0,0.3455714922440389,0.0,0.0,0.0,0.37919303354429107,0.0,0.0,0.0,0.0,0.0,0.0,0.2934295538454091,0.0,0.0,0.0
Code Refactoring and Maintenance,0.0,0.26754300190783853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15244722789337176,0.0,0.0,0.0,0.0,0.0
Social Advocacy and Civic Engagement,0.0,0.0,2.2915630015410606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Web Programming (e.g., Front-end, Back-end basics)",0.0,0.26754300190783853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15244722789337176,0.0,0.0,0.0,0.0,0.0
Ethnographic Research Methods,0.0,0.0,0.0,0.0,0.0,0.0,0.8222914149859736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.482083931780475e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3110728854724888e-156,0.0,0.0,0.0
Object-Oriented Programming,0.0,0.7898739947987716,2.3566667082289207e-83,3.4873633822543627e-07,0.0,0.0,0.0,0.0,0.0021672053327502078,0.16327907801543876,0.054357927126016316,0.0,0.0,0.009234948231924335,0.3418114949590476,0.004960802501722233,0.0,0.0,0.0,2.3262953140364933e-08
Philippine Literature in History,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23263852632459334,0.0,0.03721672662085233,0.0,0.0
Firewall Configuration and Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Corporate Culture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.829593973742362e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5214336440931e-142
Applications of Discrete Structures in Computer Science,0.0,0.0,0.0,0.0,0.0,6.277747542921998e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.6853163903049602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statistics Fundamentals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.001244797301333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global Health and Pandemic Responses,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiplexing and Demultiplexing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Innovation Strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899879058581966,0.0,0.0,0.0,0.0,0.0,1.3860927308691894e-56,0.0,0.0,0.0
Digital Logic Design Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
Recursion,0.0,0.2278737492476548,0.0,0.0,0.0,0.0,0.0,0.0,0.0020124247705934338,0.0,0.024620124381644848,0.0,0.0,0.0,0.0,0.003125904428277434,0.0,0.0,0.0,0.0
"Multiplexers, Decoders, and Encoders",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
Sociolinguistics,0.4503868778468239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1826830123012265e-12,0.0,0.0
IT Project Financials and Cost Tracking,0.0,0.0,3.1958641790562525e-94,0.0,0.0,0.0,0.0,0.0,1.3619166587700655e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Personality Psychology,0.00011747571298553145,0.0,0.0,0.0,0.0,0.0,3.4591999210303452,0.0,0.0,0.0,0.0,0.0014024814901426891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technology Commercialization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899879058581966,0.0,0.0,0.0,0.0,0.0,1.3860927308691894e-56,0.0,0.0,0.0
Penetration Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Supply Chain and Operations Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799112524117145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Algorithms,0.0,1.0227701203358457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monitoring and Logging Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.311962132617665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combinatorial Optimization,0.0,0.0,0.0,0.0,0.0,4.185165028614665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.45687759353664015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navigation and Orienteering,0.0,0.0,0.0,0.0,0.009338951742673539,0.0,0.0,1.833732077599565e-148,0.0,0.0,1.1584172035402052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comparative Analysis of Rizal's Writings and Other Nationalist Texts,0.0,0.0,0.0,0.0,0.001736513531211177,0.0,0.0,0.0,0.0,0.0,0.0,0.005535956558460592,0.013190305739623919,0.0,0.0,0.047947794141245406,0.0,0.05658244732262675,0.0,0.0
Algorithm Design,0.0,1.0227701203358457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Testing Strategies and Methodologies (e.g., Agile, Waterfall)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
"Network Monitoring Tools (e.g., Wireshark, NetFlow)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customer Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9021222793534016e-107,0.0,0.0,0.0,0.0,0.0,0.0,4.465906682499845e-101,0.0,0.0
Intrusion Detection Systems (IDS) and Prevention Systems (IPS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
Business Strategy and Planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899879058581966,0.0,0.0,0.0,0.0,0.0,1.3860927308691894e-56,0.0,0.0,0.0
Requirements Analysis,0.0,0.010454373504642699,0.0,0.0,0.0,0.0,0.0,0.0,0.12739287717793876,0.15114674162260355,0.35505771940701764,0.0,0.0,0.016792390795814537,0.5187691580775814,0.13901321843262604,0.0,0.0,0.0,0.0
Textual Analysis,0.4503868778468239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1826830123012265e-12,0.0,0.0
Sociological Theory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1509901175408497,0.0,0.0,0.0,0.0
Stored Procedures and Triggers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.110276418912365,0.0
Data Privacy and Protection,0.0,0.0,0.0,0.0,0.0,0.0,4.0446978768518655e-52,4.157208204700531e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planarity and Graph Coloring,0.0,0.0,0.0,0.0,0.0,4.185165028614665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.45687759353664015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Market Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159822504823429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cultural Globalization and its Impact on Society,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
